GTEX$1A8FM$0004$SM$7J39J HG01109#1#JAHEPA010000099.1_2104245_2511104_1$HG02300.verkko_filt_mat.fa:haplotype1_0000028_144052837_144460586_1	0.9701520513842898 GTEX
GTEX$1A8FM$0004$SM$7J39J HG01109#1#JAHEPA010000099.1_2104245_2511104_1$HG03927.verkko_filt_mat.fa:haplotype1_0000009_134765170_135173010_1	0.9700711306724247 GTEX
GTEX$1A8FM$0004$SM$7J39J HG02080#1#JAHEOW010000048.1_16689583_17097287_0$HG01109#1#JAHEPA010000099.1_2104245_2511104_1	0.9700266400644404 GTEX
GTEX$1A8FM$0004$SM$7J39J AV_HG01361#haplotype1#0000023:101593539_102001341$HG01109#1#JAHEPA010000099.1_2104245_2511104_1	0.9700095255001007 GTEX
GTEX$1A8FM$0004$SM$7J39J AV_HG01175#haplotype1#0000070:46006269_46414083$HG02717#2#JAHAOR010000006.1_19663827_20070693_1	0.9699705730625352 GTEX
GTEX$1A8FM$0004$SM$7J39J HG01109#1#JAHEPA010000099.1_2104245_2511104_1$HG01099.verkko_filt_mat.fa:haplotype1_0000034_142513097_142920876_1	0.9699228712955602 GTEX
GTEX$1A8FM$0004$SM$7J39J AV_HG01175#haplotype1#0000070:46006269_46414083$HG01258#2#JAGYYU010000072.1_51562603_51970395_0	0.9699009320294105 GTEX
GTEX$1A8FM$0004$SM$7J39J HG01109#1#JAHEPA010000099.1_2104245_2511104_1$NA19240#2#JAHEOL010000010.1_37445323_37853017_0	0.9698870831054519 GTEX
GTEX$1A8FM$0004$SM$7J39J AV_HG01175#haplotype1#0000070:46006269_46414083$HG01123#1#JAGYYZ010000015.1_51528240_51935090_0	0.9698097513091083 GTEX
GTEX$1A8FM$0004$SM$7J39J HG03486#1#JAHEOQ010000123.1_16677696_17085575_0$HG02717#2#JAHAOR010000006.1_19663827_20070693_1	0.9697435378336581 GTEX
