sample	popGrouping	ageAverage
gun008	ancient-Early Farmer	1014.5
gun005	ancient-Early Farmer	994
gun012	ancient-Early Farmer	1329
gun011	ancient-Early Farmer	1158.5
gun002	ancient-Early Farmer	860.5
Klei10	ancient-Early Farmer	6062.5
Pal7	ancient-Early Farmer	6351
Rev5	ancient-Early Farmer	8301
R11	ancient-Hunter-Gatherer (W)	11908
R7	ancient-Hunter-Gatherer (W)	10681.5
R15	ancient-Hunter-Gatherer (W)	9124.5
R2	ancient-Early Farmer	7984
R3	ancient-Early Farmer	7729.5
R8	ancient-Early Farmer	7723.5
R10	ancient-Early Farmer	7629
R9	ancient-Early Farmer	7496
R6	ancient-Early Farmer	7159.5
R4	ancient-Early Farmer	4865
R5	ancient-Early Farmer	4839.5
NEO695	ancient-Early Farmer	7299
R18	ancient-Early Farmer	7298.5
R19	ancient-Early Farmer	7233
R17	ancient-Early Farmer	7223.5
R16	ancient-Early Farmer	7207.5
R24	ancient-Early Farmer	5450
R25	ancient-Early Farmer	4150
R26	ancient-Early Farmer	4150
R27	ancient-Early Farmer	4150
R28	ancient-Early Farmer	4150
R29	ancient-Early Farmer	4150
R22	ancient-Early Farmer	3895.5
NEO830	ancient-Early Farmer	5393
R1014	ancient-Early Farmer	4950
RISE489	ancient-Early Farmer	4693
NEO806	ancient-Early Farmer	3015
NEO823	ancient-Early Farmer	4665
R1	ancient-Early Farmer	2834.5
R1016	ancient-Early Farmer	2750
R473	ancient-Early Farmer	2600
R474	ancient-Early Farmer	2600
R475	ancient-Early Farmer	2600
R850	ancient-Early Farmer	2600
R851	ancient-Early Farmer	2600
R1021	ancient-Early Farmer	2600
R435	ancient-Early Farmer	2350
R437	ancient-Early Farmer	2250
R1015	ancient-Early Farmer	2800
R111	ancient-Early Farmer	1850
R113	ancient-Early Farmer	1850
R114	ancient-Early Farmer	1850
R115	ancient-Early Farmer	1850
R116	ancient-Yamnaya	1850
R131	ancient-Early Farmer	1850
R80	ancient-Early Farmer	1873.5
R75	ancient-Early Farmer	1850
R76	ancient-Early Farmer	1850
R78	ancient-Early Farmer	1850
R81	ancient-Early Farmer	1850
R436	ancient-Early Farmer	1850
R42	ancient-Early Farmer	1879
R39	ancient-Early Farmer	1851
R37	ancient-Early Farmer	1749.5
R38	ancient-Early Farmer	1749.5
R40	ancient-Early Farmer	1749.5
R41	ancient-Early Farmer	1749.5
R43	ancient-Early Farmer	1749.5
R44	ancient-Early Farmer	1749.5
R45	ancient-Early Farmer	1749.5
R50	ancient-Early Farmer	1760.5
R49	ancient-Early Farmer	1750
R51	ancient-Early Farmer	1750
R47	ancient-Early Farmer	1667.5
R835	ancient-Early Farmer	1813.5
R836	ancient-Early Farmer	1813.5
R66	ancient-Early Farmer	1750
R67	ancient-Early Farmer	1750
R68	ancient-Early Farmer	1750
R69	ancient-Early Farmer	1750
R70	ancient-Early Farmer	1750
R71	ancient-Early Farmer	1750
R72	ancient-Early Farmer	1750
R73	ancient-Early Farmer	1750
R1543	ancient-Early Farmer	1749.5
R1544	ancient-Early Farmer	1749.5
R1545	ancient-Early Farmer	1749.5
R1551	ancient-Early Farmer	1817
R1547	ancient-Early Farmer	1813.5
R1548	ancient-Early Farmer	1813.5
R1549	ancient-Early Farmer	1813.5
R1550	ancient-Early Farmer	1813.5
R123	ancient-Early Farmer	1761.5
R125	ancient-Early Farmer	1750
R128	ancient-Early Farmer	1750
R126	ancient-Early Farmer	1663
R132	ancient-Early Farmer	1719
R130	ancient-Early Farmer	1550
R133	ancient-Early Farmer	1550
R134	ancient-Early Farmer	1550
R136	ancient-Early Farmer	1550
R137	ancient-Early Farmer	1550
R31	ancient-Yamnaya	1574.5
R30	ancient-Early Farmer	1450
R32	ancient-Early Farmer	1450
R33	ancient-Early Farmer	1450
R34	ancient-Early Farmer	1450
R35	ancient-Early Farmer	1450
R36	ancient-Early Farmer	1450
R105	ancient-Early Farmer	1450
R106	ancient-Yamnaya	1450
R107	ancient-Early Farmer	1450
R108	ancient-Yamnaya	1450
R109	ancient-Early Farmer	1450
R110	ancient-Early Farmer	1450
R104	ancient-Early Farmer	1450
R117	ancient-Early Farmer	1450
R118	ancient-Early Farmer	1450
R120	ancient-Early Farmer	1450
R121	ancient-Early Farmer	1450
R122	ancient-Early Farmer	1450
R60	ancient-Early Farmer	1045
R59	ancient-Early Farmer	1045
R63	ancient-Early Farmer	960
R58	ancient-Early Farmer	850
R57	ancient-Early Farmer	840
R65	ancient-Early Farmer	840
R64	ancient-Early Farmer	840
R62	ancient-Yamnaya	735
R52	ancient-Early Farmer	595
R53	ancient-Early Farmer	595
R55	ancient-Early Farmer	595
R56	ancient-Early Farmer	595
R61	ancient-Early Farmer	595
R54	ancient-Early Farmer	595
R1283	ancient-Early Farmer	1091
R1285	ancient-Early Farmer	945.5
R1290	ancient-Early Farmer	602.5
R1287	ancient-Early Farmer	521
R1288	ancient-Yamnaya	521
R1289	ancient-Early Farmer	521
R1286	ancient-Yamnaya	521
R1219	ancient-Yamnaya	510
R1220	ancient-Yamnaya	465
R1221	ancient-Yamnaya	465
R1224	ancient-Yamnaya	465
VK534	ancient-Early Farmer	800
VK535	ancient-Early Farmer	713
VK536	ancient-Early Farmer	700
VK537	ancient-Early Farmer	700
VK538	ancient-Yamnaya	700
R970	ancient-Early Farmer	300
R973	ancient-Early Farmer	300
R969	ancient-Early Farmer	300
NEO694	ancient-Hunter-Gatherer (W)	9217
Chan	ancient-Hunter-Gatherer (W)	9131
NEO646	ancient-Hunter-Gatherer (W)	8273
NEO938	ancient-Hunter-Gatherer (W)	7878
NEO648	ancient-Hunter-Gatherer (W)	7539
mur	ancient-Early Farmer	7136
LD1174	ancient-Early Farmer	6415
COV20126	ancient-Early Farmer	5588
san216	ancient-Early Farmer	5665.5
c40331	ancient-Early Farmer	5649.5
por002	ancient-Early Farmer	5090.5
atp016	ancient-Early Farmer	5039.5
por004	ancient-Early Farmer	4955
atp12-1420	ancient-Early Farmer	4895.5
atp002	ancient-Early Farmer	4739.5
NEO721	ancient-Early Farmer	4170
pir001	ancient-Early Farmer	3725
esp005	ancient-Early Farmer	3370
NEO649	ancient-Yamnaya	4117
NEO653	ancient-Early Farmer	3423
NEO632	ancient-Early Farmer	7349
NEO631	ancient-Early Farmer	7139
LU339	ancient-Early Farmer	6797.5
LD270	ancient-Early Farmer	6336
LugarCanto41	ancient-Early Farmer	5950
LugarCanto42	ancient-Early Farmer	5950
LugarCanto44	ancient-Early Farmer	5950
DolmenAnsiao96B	ancient-Early Farmer	5450
CabecoArruda117B	ancient-Early Farmer	5050
CabecoArruda122A	ancient-Early Farmer	5050
CovaMoura364	ancient-Early Farmer	4900
CovaMoura9B	ancient-Early Farmer	4900
NEO609	ancient-Early Farmer	4333
MonteGato104	ancient-Early Farmer	3535
ValeOuro10207	ancient-Early Farmer	3550
TV32032extra	ancient-Early Farmer	3550
TV3831	ancient-Early Farmer	3550
RISE446	ancient-Yamnaya	4597
RISE563	ancient-Yamnaya	4492
RISE559	ancient-Early Farmer	4284
FN2	ancient-Early Farmer	1650
Alh1	ancient-Yamnaya	1500
Alh10	ancient-Yamnaya	1489
NW54	ancient-Early Farmer	1490.5
STR486	ancient-Yamnaya	1455
STR220c	ancient-Yamnaya	1445
STR300b	ancient-Early Farmer	1430
STR310	ancient-Yamnaya	1430
Bichon	ancient-Hunter-Gatherer (W)	13665
Loschbour	ancient-Hunter-Gatherer (W)	8050
PER1150503	ancient-Hunter-Gatherer (W)	9067
PER3023	ancient-Hunter-Gatherer (W)	9067
Schw432	ancient-Early Farmer	7100
Sch72-15	ancient-Early Farmer	7036.5
Mor6	ancient-Early Farmer	7036
MDV248	ancient-Early Farmer	7015.5
ROS45	ancient-Early Farmer	6642.5
ROS102	ancient-Early Farmer	6550
ROS78	ancient-Early Farmer	6550
NEO812	ancient-Early Farmer	6545
BUCH2	ancient-Early Farmer	6250
BERG157-7	ancient-Early Farmer	6131.5
BERG157-2	ancient-Early Farmer	6050
BERG02-2	ancient-Early Farmer	5870
WET370	ancient-Early Farmer	5521
CRE20D	ancient-Early Farmer	6151
BLP10	ancient-Early Farmer	6052
Es97-1	ancient-Early Farmer	6004.5
PSS4693	ancient-Early Farmer	5438.5
NEO121	ancient-Early Farmer	4531
NEO119	ancient-Early Farmer	4382
PEI2	ancient-Early Farmer	4385.5
CBV95	ancient-Yamnaya	4463
PSS4170	ancient-Yamnaya	4036.5
EUG11	ancient-Early Farmer	3903
BIS130	ancient-Yamnaya	3850
BIS385	ancient-Yamnaya	3850
OBE3722	ancient-Yamnaya	3800
OBE3626-1	ancient-Yamnaya	3763.5
QUIN58	ancient-Early Farmer	3600
QUIN234	ancient-Early Farmer	3600
RIX4	ancient-Yamnaya	3640
RIX15	ancient-Yamnaya	3600
RIX2	ancient-Early Farmer	3600
NIED	ancient-Early Farmer	2812
NOR2B6	ancient-Early Farmer	2700
NOR3-15	ancient-Early Farmer	2700
NOR3-6	ancient-Yamnaya	2510
Jeb8	ancient-Yamnaya	2450
PECH8	ancient-Early Farmer	2400
PT2	ancient-Early Farmer	2375
COL11	ancient-Yamnaya	2290
COL153A	ancient-Early Farmer	2290
ERS1164	ancient-Yamnaya	2200
ERS86	ancient-Early Farmer	2200
ERS88	ancient-Early Farmer	2200
BES1248	ancient-Yamnaya	2075
ATT26	ancient-Yamnaya	2225
BFM265	ancient-Yamnaya	2170
PEY163	ancient-Early Farmer	2250
PEY53	ancient-Early Farmer	2125
Cheddar_man	ancient-Hunter-Gatherer (W)	10300
BurnGround	ancient-Early Farmer	5770
Fussels_Lodge_1	ancient-Early Farmer	5657.5
Carsington_pasture_1	ancient-Early Farmer	5538.5
NEO847	ancient-Early Farmer	5463
mid001	ancient-Early Farmer	5450
mid002	ancient-Early Farmer	5180
Coldrum_1	ancient-Early Farmer	5430
Aveline_1	ancient-Early Farmer	5489.5
Jubilee_cave	ancient-Early Farmer	5462.5
Kelco_cave	ancient-Early Farmer	5536
CaveHa3_1	ancient-Early Farmer	5264
bal004	ancient-Early Farmer	5190
lai001	ancient-Early Farmer	5180
NEO627	ancient-Early Farmer	5132
NEO626	ancient-Early Farmer	5082
NEO630	ancient-Early Farmer	4898
NEO624	ancient-Early Farmer	4897
NEO717	ancient-Early Farmer	4893
Embo_1	ancient-Early Farmer	5050
M1489	ancient-Yamnaya	2035
12880A	ancient-Yamnaya	2017
12884A	ancient-Yamnaya	1995
15579A	ancient-Yamnaya	1745
